16,0:02.11, 0.04,0.48
32,0:02.11, 0.04,0.50
48,0:02.10, 0.04,0.50
64,0:02.11, 0.04,0.50
80,0:02.11, 0.06,0.50
96,0:02.11, 0.08,0.51
112,0:02.11, 0.07,0.48
128,0:02.11, 0.06,0.50
144,0:02.10, 0.08,0.50
160,0:02.11, 0.07,0.53
176,0:02.11, 0.10,0.49
192,0:02.11, 0.10,0.48
208,0:02.11, 0.07,0.52
224,0:02.11, 0.10,0.50
240,0:02.21, 0.12,0.50
256,0:02.11, 0.10,0.50
272,0:02.21, 0.11,0.50
288,0:02.21, 0.11,0.53
304,0:02.21, 0.12,0.52
320,0:02.21, 0.13,0.51
336,0:02.21, 0.15,0.52
352,0:02.21, 0.14,0.52
368,0:02.21, 0.12,0.53
384,0:02.21, 0.13,0.52
400,0:02.21, 0.15,0.51
416,0:02.21, 0.15,0.53
432,0:02.21, 0.17,0.56
448,0:02.21, 0.16,0.53
464,0:02.21, 0.17,0.52
480,0:02.21, 0.18,0.51
496,0:02.21, 0.17,0.53
512,0:02.21, 0.18,0.55
528,0:02.21, 0.18,0.54
544,0:02.21, 0.22,0.52
560,0:02.24, 0.22,0.53
576,0:02.26, 0.25,0.53
592,0:02.25, 0.22,0.54
608,0:02.26, 0.24,0.52
624,0:02.31, 0.26,0.57
640,0:02.32, 0.27,0.56
656,0:02.31, 0.24,0.56
672,0:02.31, 0.28,0.54
688,0:02.34, 0.29,0.57
704,0:02.35, 0.29,0.55
720,0:02.33, 0.30,0.54
736,0:02.33, 0.30,0.55
752,0:02.35, 0.32,0.56
768,0:02.35, 0.32,0.55
784,0:02.35, 0.28,0.59
800,0:02.39, 0.34,0.57
816,0:02.38, 0.36,0.55
832,0:02.39, 0.36,0.55
848,0:02.40, 0.36,0.56
864,0:02.42, 0.38,0.56
880,0:02.44, 0.40,0.56
896,0:02.48, 0.43,0.56
912,0:02.50, 0.44,0.64
928,0:02.54, 0.47,0.59
944,0:02.55, 0.50,0.57
960,0:02.54, 0.41,0.64
976,0:02.59, 0.48,0.62
992,0:02.58, 0.44,0.64
1008,0:02.60, 0.52,0.62
1024,0:02.60, 0.49,0.62
1040,0:02.62, 0.51,0.62
1056,0:02.65, 0.52,0.64
1072,0:02.64, 0.52,0.61
1088,0:02.66, 0.53,0.64
1104,0:02.74, 0.62,0.62
1120,0:02.76, 0.62,0.65
1136,0:02.72, 0.62,0.60
1152,0:02.75, 0.62,0.64
1168,0:02.75, 0.61,0.64
1184,0:02.80, 0.64,0.66
1200,0:02.84, 0.71,0.64
1216,0:02.85, 0.72,0.64
1232,0:02.85, 0.70,0.65
1248,0:02.90, 0.76,0.65
1264,0:02.95, 0.78,0.66
1280,0:02.95, 0.82,0.64
1296,0:02.98, 0.82,0.68
1312,0:02.99, 0.85,0.67
1328,0:03.02, 0.91,0.63
1344,0:03.05, 0.90,0.66
1360,0:03.07, 0.91,0.67
1376,0:03.05, 0.94,0.63
1392,0:03.11, 0.94,0.69
1408,0:03.15, 0.97,0.68
1424,0:03.16, 0.97,0.71
1440,0:03.17, 1.01,0.69
1456,0:03.22, 0.99,0.74
1472,0:03.27, 1.08,0.71
1488,0:03.35, 1.08,0.78
1504,0:03.34, 1.10,0.75
1520,0:03.36, 1.14,0.74
1536,0:03.39, 1.10,0.80
1552,0:03.41, 1.22,0.70
1568,0:03.44, 1.21,0.74
1584,0:03.48, 1.26,0.75
1600,0:03.50, 1.29,0.73
1616,0:03.55, 1.26,0.80
1632,0:03.59, 1.33,0.76
1648,0:03.64, 1.39,0.78
1664,0:03.68, 1.41,0.78
1680,0:03.67, 1.41,0.78
1696,0:03.70, 1.42,0.80
1712,0:03.75, 1.50,0.77
1728,0:03.79, 1.54,0.78
1744,0:03.81, 1.57,0.76
1760,0:03.94, 1.62,0.88
1776,0:03.98, 1.64,0.88
1792,0:03.95, 1.65,0.84
1808,0:03.99, 1.71,0.81
1824,0:04.07, 1.68,0.86
1840,0:04.08, 1.74,0.86
1856,0:04.12, 1.82,0.83
1872,0:04.16, 1.81,0.88
1888,0:04.24, 1.87,0.89
1904,0:04.37, 2.01,0.87
1920,0:04.44, 2.07,0.89
1936,0:04.37, 1.93,0.96
1952,0:04.41, 1.96,0.98
1968,0:04.58, 2.16,0.94
1984,0:04.53, 2.07,0.99
2000,0:04.57, 2.15,0.99
2016,0:04.60, 2.15,0.96
2032,0:04.62, 2.18,0.98
2048,0:04.67, 2.31,0.88
