5,0:02.11, 0.03,0.48
6,0:02.21, 0.04,0.49
7,0:02.21, 0.04,0.48
8,0:02.20, 0.04,0.48
9,0:02.21, 0.04,0.50
10,0:02.20, 0.06,0.49
11,0:02.21, 0.07,0.49
12,0:02.21, 0.06,0.52
13,0:02.21, 0.07,0.51
14,0:02.21, 0.10,0.50
15,0:02.21, 0.11,0.50
16,0:02.31, 0.12,0.52
17,0:02.31, 0.14,0.52
18,0:02.35, 0.17,0.50
19,0:02.31, 0.20,0.52
20,0:02.41, 0.24,0.52
21,0:02.41, 0.27,0.52
22,0:02.51, 0.31,0.52
23,0:02.51, 0.37,0.52
24,0:02.51, 0.36,0.58
25,0:02.61, 0.41,0.58
26,0:02.71, 0.53,0.54
27,0:02.71, 0.54,0.56
28,0:02.81, 0.60,0.58
29,0:02.91, 0.67,0.58
30,0:03.01, 0.70,0.63
31,0:03.01, 0.78,0.63
32,0:03.11, 0.85,0.65
33,0:03.21, 0.98,0.62
34,0:03.31, 1.04,0.67
35,0:03.41, 1.16,0.66
36,0:03.61, 1.23,0.69
37,0:03.71, 1.38,0.67
38,0:03.81, 1.44,0.74
39,0:03.91, 1.57,0.73
40,0:04.21, 1.81,0.72
41,0:04.21, 1.89,0.73
42,0:04.41, 1.98,0.74
43,0:04.51, 2.11,0.80
44,0:04.71, 2.20,0.88
45,0:04.91, 2.45,0.82
46,0:05.11, 2.60,0.87
47,0:05.31, 2.81,0.85
48,0:05.51, 2.94,0.92
49,0:05.71, 3.13,0.96
50,0:05.91, 3.28,1.02
51,0:06.21, 3.50,1.04
52,0:06.41, 3.79,0.99
53,0:06.61, 3.90,1.13
54,0:06.91, 4.16,1.13
55,0:07.21, 4.40,1.16
56,0:07.51, 4.73,1.13
57,0:07.81, 4.90,1.27
58,0:08.11, 5.25,1.19
59,0:08.42, 5.52,1.24
60,0:08.71, 5.78,1.31
61,0:09.01, 6.07,1.36
62,0:09.41, 6.36,1.41
63,0:09.71, 6.64,1.51
64,0:10.12, 6.94,1.51
65,0:10.52, 7.26,1.58
66,0:10.82, 7.61,1.63
67,0:11.22, 7.82,1.82
68,0:11.72, 8.16,1.88
69,0:12.12, 8.68,1.81
70,0:12.62, 9.18,1.77
71,0:13.02, 9.39,1.98
72,0:13.42, 9.86,1.98
73,0:14.12, 10.29,2.20
74,0:14.62, 10.68,2.31
75,0:15.12, 11.38,2.14
76,0:15.62, 11.75,2.30
77,0:16.02, 12.08,2.31
78,0:16.72, 12.61,2.53
79,0:17.32, 13.37,2.35
80,0:17.93, 13.83,2.48
81,0:18.53, 14.33,2.60
82,0:18.93, 14.51,2.91
83,0:19.73, 15.43,2.74
84,0:20.43, 16.06,2.73
85,0:20.83, 16.29,2.92
86,0:21.53, 17.05,2.85
87,0:22.23, 17.56,3.04
88,0:23.23, 18.46,3.13
89,0:23.93, 18.94,3.37
90,0:24.63, 19.61,3.41
91,0:25.43, 20.18,3.60
92,0:26.14, 20.86,3.71
93,0:26.94, 21.73,3.62
94,0:27.84, 22.45,3.77
95,0:28.34, 22.53,4.19
96,0:29.23, 23.51,4.04
97,0:30.34, 24.36,4.41
98,0:30.84, 25.12,4.16
99,0:31.84, 25.60,4.68
100,0:33.04, 26.62,4.86
