256,0:02.11, 0.04,0.48
512,0:02.20, 0.09,0.49
768,0:02.31, 0.24,0.49
1024,0:02.71, 0.55,0.51
1280,0:03.11, 1.00,0.51
1536,0:03.81, 1.72,0.51
1792,0:04.71, 2.65,0.52
2048,0:12.52, 10.40,0.53
2304,0:08.91, 6.80,0.54
2560,0:12.32, 10.24,0.52
2816,0:16.12, 14.08,0.51
3072,0:37.55, 35.58,0.54
3328,0:26.33, 24.26,0.56
3584,0:40.46, 38.47,0.57
3840,0:40.15, 38.04,0.61
4096,3:06.04, 184.01,0.77
4352,0:58.58, 56.39,0.65
4608,1:33.83, 91.80,0.63
4864,1:23.32, 81.28,0.62
5120,4:05.82, 243.65,0.74
5376,1:50.64, 108.57,0.70
5632,3:34.09, 212.01,0.78
5888,2:28.00, 145.95,0.76
6144,9:42.85, 580.72,1.17
6400,3:14.49, 192.38,0.84
6656,6:43.14, 401.02,1.04
6912,4:57.20, 295.04,1.10
7168,12:56.33, 774.46,1.67
7424,6:02.29, 359.99,1.18
7680,12:03.07, 721.12,1.54
7936,8:20.74, 498.48,1.34
8192,31:17.64, 1875.54,2.04
