256,1,0:02.10, 0.03,0.49
256,2,0:02.11, 0.03,0.48
256,3,0:02.10, 0.02,0.48
256,4,0:02.10, 0.03,0.50
256,5,0:02.10, 0.03,0.48
256,6,0:02.11, 0.02,0.49
256,7,0:02.11, 0.03,0.48
256,8,0:02.11, 0.03,0.49
256,9,0:02.10, 0.03,0.49
256,10,0:02.10, 0.02,0.48
512,1,0:02.10, 0.04,0.48
512,2,0:02.10, 0.03,0.49
512,3,0:02.11, 0.06,0.47
512,4,0:02.10, 0.03,0.49
512,5,0:02.11, 0.03,0.49
512,6,0:02.11, 0.04,0.48
512,7,0:02.10, 0.03,0.49
512,8,0:02.11, 0.04,0.48
512,9,0:02.10, 0.03,0.50
512,10,0:02.11, 0.04,0.49
768,1,0:02.10, 0.05,0.48
768,2,0:02.11, 0.04,0.49
768,3,0:02.11, 0.04,0.49
768,4,0:02.11, 0.05,0.50
768,5,0:02.11, 0.04,0.48
768,6,0:02.11, 0.05,0.48
768,7,0:02.11, 0.04,0.49
768,8,0:02.11, 0.04,0.49
768,9,0:02.11, 0.04,0.50
768,10,0:02.11, 0.07,0.48
1024,1,0:02.11, 0.06,0.52
1024,2,0:02.10, 0.06,0.48
1024,3,0:02.10, 0.06,0.49
1024,4,0:02.20, 0.06,0.50
1024,5,0:02.11, 0.06,0.48
1024,6,0:02.10, 0.06,0.51
1024,7,0:02.11, 0.06,0.48
1024,8,0:02.10, 0.08,0.51
1024,9,0:02.10, 0.07,0.47
1024,10,0:02.11, 0.06,0.49
1280,1,0:02.20, 0.08,0.48
1280,2,0:02.10, 0.06,0.49
1280,3,0:02.10, 0.06,0.49
1280,4,0:02.11, 0.08,0.48
1280,5,0:02.10, 0.07,0.49
1280,6,0:02.20, 0.08,0.50
1280,7,0:02.10, 0.06,0.49
1280,8,0:02.10, 0.07,0.48
1280,9,0:02.10, 0.07,0.49
1280,10,0:02.10, 0.07,0.49
1536,1,0:02.21, 0.07,0.49
1536,2,0:02.21, 0.08,0.50
1536,3,0:02.21, 0.08,0.49
1536,4,0:02.21, 0.08,0.50
1536,5,0:02.21, 0.09,0.48
1536,6,0:02.21, 0.07,0.50
1536,7,0:02.11, 0.09,0.48
1536,8,0:02.21, 0.06,0.50
1536,9,0:02.21, 0.06,0.51
1536,10,0:02.21, 0.07,0.50
1792,1,0:02.21, 0.10,0.49
1792,2,0:02.20, 0.08,0.50
1792,3,0:02.20, 0.07,0.51
1792,4,0:02.20, 0.08,0.51
1792,5,0:02.21, 0.08,0.49
1792,6,0:02.21, 0.10,0.49
1792,7,0:02.21, 0.07,0.51
1792,8,0:02.21, 0.09,0.50
1792,9,0:02.20, 0.08,0.49
1792,10,0:02.20, 0.07,0.50
2048,1,0:02.20, 0.10,0.49
2048,2,0:02.21, 0.11,0.51
2048,3,0:02.21, 0.11,0.48
2048,4,0:02.21, 0.09,0.50
2048,5,0:02.20, 0.08,0.54
2048,6,0:02.20, 0.09,0.51
2048,7,0:02.20, 0.10,0.50
2048,8,0:02.20, 0.09,0.50
2048,9,0:02.20, 0.08,0.59
2048,10,0:02.20, 0.09,0.50
2304,1,0:02.21, 0.09,0.52
2304,2,0:02.20, 0.11,0.48
2304,3,0:02.27, 0.11,0.50
2304,4,0:02.21, 0.12,0.48
2304,5,0:02.20, 0.11,0.50
2304,6,0:02.21, 0.10,0.51
2304,7,0:02.21, 0.12,0.49
2304,8,0:02.21, 0.12,0.48
2304,9,0:02.21, 0.10,0.51
2304,10,0:02.20, 0.11,0.50
2560,1,0:02.21, 0.13,0.49
2560,2,0:02.20, 0.10,0.52
2560,3,0:02.20, 0.12,0.50
2560,4,0:02.21, 0.11,0.51
2560,5,0:02.20, 0.14,0.48
2560,6,0:02.20, 0.12,0.50
2560,7,0:02.20, 0.14,0.50
2560,8,0:02.21, 0.14,0.53
2560,9,0:02.20, 0.14,0.49
2560,10,0:02.21, 0.11,0.55
2816,1,0:02.21, 0.13,0.50
2816,2,0:02.21, 0.13,0.52
2816,3,0:02.20, 0.13,0.52
2816,4,0:02.21, 0.13,0.52
2816,5,0:02.21, 0.15,0.49
2816,6,0:02.20, 0.12,0.53
2816,7,0:02.20, 0.12,0.53
2816,8,0:02.21, 0.14,0.50
2816,9,0:02.21, 0.13,0.51
2816,10,0:02.21, 0.15,0.50
3072,1,0:02.21, 0.14,0.52
3072,2,0:02.21, 0.16,0.50
3072,3,0:02.21, 0.16,0.50
3072,4,0:02.21, 0.16,0.51
3072,5,0:02.21, 0.16,0.50
3072,6,0:02.21, 0.19,0.52
3072,7,0:02.21, 0.16,0.50
3072,8,0:02.21, 0.17,0.49
3072,9,0:02.21, 0.15,0.50
3072,10,0:02.20, 0.16,0.51
3328,1,0:02.21, 0.17,0.50
3328,2,0:02.20, 0.19,0.50
3328,3,0:02.20, 0.16,0.53
3328,4,0:02.20, 0.18,0.52
3328,5,0:02.21, 0.16,0.51
3328,6,0:02.20, 0.18,0.51
3328,7,0:02.21, 0.16,0.52
3328,8,0:02.21, 0.16,0.52
3328,9,0:02.20, 0.18,0.57
3328,10,0:02.21, 0.15,0.52
3584,1,0:02.31, 0.19,0.50
3584,2,0:02.30, 0.18,0.51
3584,3,0:02.31, 0.18,0.53
3584,4,0:02.31, 0.19,0.53
3584,5,0:02.31, 0.20,0.51
3584,6,0:02.31, 0.18,0.52
3584,7,0:02.31, 0.19,0.51
3584,8,0:02.31, 0.19,0.50
3584,9,0:02.31, 0.17,0.52
3584,10,0:02.21, 0.17,0.52
3840,1,0:02.31, 0.22,0.50
3840,2,0:02.31, 0.21,0.50
3840,3,0:02.30, 0.21,0.52
3840,4,0:02.31, 0.20,0.52
3840,5,0:02.31, 0.21,0.53
3840,6,0:02.30, 0.23,0.51
3840,7,0:02.30, 0.21,0.51
3840,8,0:02.31, 0.22,0.51
3840,9,0:02.31, 0.21,0.60
3840,10,0:02.31, 0.24,0.48
4096,1,0:02.31, 0.22,0.51
4096,2,0:02.31, 0.27,0.52
4096,3,0:02.30, 0.25,0.49
4096,4,0:02.30, 0.22,0.52
4096,5,0:02.31, 0.20,0.53
4096,6,0:02.56, 0.21,0.52
4096,7,0:02.31, 0.21,0.52
4096,8,0:02.31, 0.21,0.52
4096,9,0:02.30, 0.21,0.54
4096,10,0:02.30, 0.23,0.53
